CHROM	NA12891:PI	num_Vars_by_PI	range_of_PI	total_haplotypes	total_Vars	stage
20	1.0,5.0,9.0,12.0,13.0,17.0,18.0,20.0,21.0,22.0,26.0,32.0,33.0,44.0,46.0,47.0,53.0,54.0,55.0,57.0,64.0,67.0,68.0,70.0,72.0,74.0,76.0,77.0,85.0,88.0,90.0,93.0,103.0,106.0,109.0,111.0,121.0,122.0,123.0,124.0,125.0,134.0,135.0,136.0,145.0,160.0,166.0,177.0,178.0,179.0,180.0,187.0,190.0,195.0,198.0,211.0,216.0,217.0,223.0,227.0,229.0,233.0,234.0,242.0,250.0,251.0,261.0,263.0,267.0,271.0,273.0,274.0,275.0,277.0,282.0,295.0,311.0,314.0,331.0,338.0,346.0,349.0,361.0,368.0,369.0,370.0,371.0,379.0,383.0,387.0,405.0,406.0,414.0,415.0,426.0,436.0,443.0,455.0,464.0,470.0,472.0,477.0,478.0,479.0,480.0,485.0,488.0,489.0,514.0,518.0,520.0,523.0,529.0,538.0,545.0,547.0,549.0,553.0,555.0,558.0,559.0,560.0,561.0,568.0,572.0,582.0,591.0,597.0,598.0,602.0,607.0,616.0,618.0,621.0,623.0,625.0,626.0,628.0,638.0,659.0,667.0,668.0,675.0,676.0,680.0,684.0,685.0,689.0,696.0,698.0,716.0,717.0,721.0,729.0,731.0,734.0,735.0,743.0,746.0,747.0,749.0,753.0,761.0,765.0,769.0,778.0,779.0,812.0,842.0,848.0,849.0,850.0,851.0,852.0,853.0,872.0,876.0,878.0,879.0,880.0,885.0,904.0,907.0,908.0,914.0,915.0,916.0,923.0,924.0,926.0,927.0,934.0,938.0,976.0,977.0,978.0,979.0,980.0,981.0,982.0,983.0,984.0,985.0,995.0,997.0,1010.0,1012.0,1019.0,1064.0,1067.0,1077.0,1079.0,1086.0,1089.0,1091.0,1097.0,1098.0,1112.0,1123.0,1125.0,1134.0,1138.0,1159.0,1168.0,1177.0,1180.0,1194.0,1198.0,1214.0,1225.0,1228.0,1229.0,1230.0,1231.0,1232.0,1236.0,1238.0,1248.0,1249.0,1253.0,1255.0,1257.0,1258.0,1259.0,1266.0,1267.0,1284.0,1287.0,1288.0,1289.0,1290.0,1303.0,1305.0,1306.0,1307.0,1308.0,1309.0,1314.0,1325.0,1328.0,1329.0,1331.0,1333.0,1334.0,1335.0,1336.0,1337.0,1345.0,1349.0,1357.0,1400.0,1404.0,1405.0,1411.0,1412.0,1413.0,1422.0,1424.0,1425.0,1429.0,1430.0,1457.0,1458.0,1460.0,1475.0,1476.0,1477.0,1482.0,1484.0,1485.0,1489.0,1493.0,1497.0,1498.0,1504.0,1508.0,1509.0,1511.0,1512.0,1513.0,1514.0,1517.0,1522.0,1524.0,1527.0,1533.0,1537.0,1551.0,1554.0,1560.0,1562.0,1563.0,1566.0,1576.0,1578.0,1579.0,1584.0,1612.0,1613.0,1617.0,1625.0,1634.0,1635.0,1639.0,1656.0,1662.0,1678.0,1681.0,1682.0,1697.0,1702.0,1703.0,1707.0,1708.0,1712.0,1716.0,1722.0,1728.0,1730.0,1733.0,1737.0,1743.0,1744.0,1746.0,1749.0,1758.0,1760.0,1761.0,1762.0,1763.0,1764.0,1765.0,1766.0,1767.0,1768.0,1770.0,1782.0,1783.0,1784.0,1786.0,1793.0,1795.0,1811.0,1814.0,1824.0,1829.0,1830.0,1831.0,1833.0,1835.0,1839.0,1842.0,1852.0,1855.0,1861.0,1870.0,1871.0,1873.0,1877.0,1878.0,1882.0,1883.0,1891.0,1893.0,1894.0,1913.0,1917.0,1918.0,1922.0,1923.0,1929.0	17,15,19,4,19,6,7,5,5,27,22,5,51,8,5,34,5,4,14,42,18,7,11,10,9,8,3,40,17,12,13,50,14,15,9,51,4,4,8,3,46,6,5,39,77,28,58,4,3,3,30,16,22,15,67,22,4,33,19,7,17,5,38,41,3,52,7,21,22,7,4,4,10,19,58,83,13,81,38,42,14,63,34,4,4,5,44,24,24,94,5,36,4,51,52,33,57,44,27,8,26,5,5,5,26,15,6,124,22,9,10,29,48,28,8,10,21,7,17,6,4,4,33,24,53,40,27,4,22,29,43,8,19,7,7,3,6,56,95,46,3,35,3,25,24,6,17,32,13,91,6,21,43,10,15,7,43,12,3,9,25,39,21,26,40,4,168,144,32,8,6,3,5,5,85,16,9,8,4,27,94,16,5,29,6,4,32,4,9,4,43,23,184,4,6,4,5,5,3,4,6,3,51,9,60,9,29,216,13,53,9,34,14,8,36,5,63,54,9,46,22,110,51,48,15,60,19,90,54,20,3,5,4,5,16,8,56,4,24,20,8,7,4,31,5,81,13,6,5,6,72,8,4,5,3,4,22,54,11,6,9,8,3,4,3,4,48,21,49,237,18,4,29,7,4,38,8,6,17,4,140,4,11,84,5,7,25,11,4,20,24,23,8,27,17,5,10,7,5,4,20,23,12,20,35,21,80,12,35,9,4,14,50,9,8,22,143,3,22,40,41,3,20,96,31,81,21,4,72,24,3,19,5,25,25,26,25,9,14,20,29,7,9,13,46,13,4,5,7,5,5,5,5,7,10,63,5,7,13,30,10,79,15,59,23,6,4,12,12,23,14,49,15,28,47,3,12,23,7,23,4,34,12,4,96,16,5,17,4,24,24	83618,40234,56755,57384,147745,25885,26293,27164,47665,64452,64824,12783,157858,54420,8102,111188,23246,42732,33156,87602,57300,9732,19888,32388,24713,13080,9823,64590,121573,50278,33886,237571,53918,21594,124399,184388,37032,5717,29392,11790,256500,41581,31545,214991,637844,54885,165100,10754,4977,5985,52206,37992,208322,114813,334810,79020,36160,53920,163231,4270,49458,22081,190509,69852,12842,114091,18369,94474,41872,41257,23780,16444,29473,91152,548952,766697,91434,388803,61801,66899,29408,450463,76875,7012,4020,5906,281743,61260,135755,595215,66675,125548,9615,193817,158512,130255,195820,153019,62001,23041,157298,7257,4431,57811,127617,29792,21747,434468,181232,47295,8152,75521,170413,58370,48224,57711,150113,22168,80345,41960,23527,10504,211196,185941,251511,472690,108266,87516,103736,121704,104767,64881,132208,12332,14134,8772,27076,194526,300769,131620,18644,104906,8034,530148,95779,20881,43572,73618,113842,391656,16180,124564,494673,77470,175334,19648,126194,64461,5762,26871,54868,77982,49302,131132,202310,5448,1019990,930167,134223,4226,18501,4772,17271,9701,207507,130430,33258,6951,21729,107214,366598,23924,19458,137247,16107,22898,74064,5369,256671,2441,201967,125048,4386983,16319,38652,3557,19104,8056,3958,8749,24271,14588,279145,61166,1041824,6877,265529,1351732,57097,582459,18730,311428,62993,90466,188080,7035,295081,410321,252876,282848,235150,766010,502351,268658,88726,561524,188704,223420,147764,98266,11948,13223,27686,8216,31090,69019,131117,3608,89569,31188,22707,151108,3002,144873,61830,542486,154153,4758,8621,8169,214741,19869,2178,12157,6462,49665,68968,230639,50571,21128,193405,5873,2245,33204,95036,105570,194093,738365,268012,1658498,23746,5418,132161,28034,36190,168519,34019,17411,96812,30006,583535,2634,92519,460309,26513,25824,43028,65545,15223,77571,137129,239963,72717,116587,82448,28112,86761,306299,3159,5516,140207,106614,118629,96069,227749,135272,364137,36024,99337,24086,5236,408661,330242,100267,160779,102832,377617,69503,58169,166903,341970,753,56850,336255,73053,360828,136922,24894,147673,77745,22602,97264,11771,87916,182989,116108,46555,103929,89542,95148,346985,21919,55227,31488,313321,171032,46143,3938,15566,3262,7632,5972,11866,67921,25674,205396,20323,35374,17948,88974,32016,294807,51694,195226,49812,66430,12088,111979,33722,69360,54941,192082,74379,144819,295600,151764,61233,95557,16399,30595,17851,150519,60111,5584,548916,70314,75379,53163,10531,102113,86320	391	9666	initial
20	1.0,54.0,90.0,216.0,250.0,361.0,368.0,369.0,370.0,371.0,549.0,598.0,716.0,842.0,848.0,849.0,850.0,851.0,852.0,853.0,879.0,880.0,907.0,978.0,979.0,980.0,981.0,982.0,983.0,984.0,985.0,1067.0,1123.0,1159.0,1230.0,1231.0,1248.0,1249.0,1267.0,1306.0,1333.0,1334.0,1336.0,1400.0,1405.0,1424.0,1429.0,1430.0,1475.0,1484.0,1485.0,1512.0,1612.0,1703.0,1760.0,1761.0,1762.0,1763.0,1764.0,1765.0,1768.0,1783.0,1784.0,1830.0,1855.0,1882.0,1883.0	254,195,612,164,541,34,4,4,5,879,240,590,636,32,8,6,3,5,5,118,4,137,353,4,5,5,3,4,6,3,387,276,187,365,4,85,4,99,195,122,3,7,359,22,86,23,4,239,48,4,141,526,461,285,4,5,7,5,5,17,78,7,235,129,143,4,236	1172098,711912,3244413,656419,3413648,76875,7012,4020,5906,3937899,1741227,2906197,4113894,134223,4226,18501,4772,17271,9701,410521,21729,567419,6022477,3557,19104,8056,3958,8749,24271,14588,3576751,2069570,1729868,2228066,27686,252190,3608,529378,977910,740232,2245,160798,3008824,31345,701976,114522,30006,1249627,182434,15223,1417091,3245424,2120220,1956791,46143,3938,15566,3262,7632,89030,273246,35374,834549,584350,839898,17851,1360952	67	9666	final
